City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Omboue,-1.5746,9.2618,76.8,broken clouds,90,59,6.26,GA
1,Iqaluit,63.7506,-68.5145,17.33,few clouds,78,20,0.0,CA
2,Saucillo,28.0167,-105.2833,69.03,clear sky,23,0,2.86,MX
3,Bluff,-46.6,168.3333,54.48,overcast clouds,83,100,11.41,NZ
4,Sabang,5.8933,95.3214,80.78,overcast clouds,78,100,11.27,ID
5,Brae,60.3964,-1.353,50.52,clear sky,90,2,11.92,GB
6,Carnarvon,-24.8667,113.6333,65.37,overcast clouds,68,95,22.68,AU
7,Qaanaaq,77.484,-69.3632,-11.4,clear sky,66,0,8.99,GL
8,Truro,50.2653,-5.0544,58.28,scattered clouds,94,40,14.97,GB
9,Port Alfred,-33.5906,26.891,70.07,overcast clouds,86,87,7.31,ZA
10,Yellowknife,62.456,-114.3525,27.12,light snow,86,75,11.5,CA
11,Sorland,67.667,12.6934,40.86,overcast clouds,60,100,23.55,NO
12,Jamestown,42.097,-79.2353,64.06,clear sky,35,0,6.91,US
13,Provideniya,64.3833,-173.3,15.94,overcast clouds,83,100,8.84,RU
14,Norman Wells,65.282,-126.8329,17.64,light snow,93,100,4.61,CA
15,Busselton,-33.65,115.3333,48.36,scattered clouds,68,39,16.62,AU
16,Punta Arenas,-53.15,-70.9167,42.12,scattered clouds,81,45,29.55,CL
17,Victoria,22.2855,114.1577,75.38,overcast clouds,66,100,5.99,HK
18,Sao Filipe,14.8961,-24.4956,80.55,broken clouds,69,84,7.29,CV
19,General Roca,-39.0333,-67.5833,67.23,overcast clouds,33,95,36.78,AR
20,Caxito,-8.5785,13.6643,78.44,broken clouds,84,63,5.21,AO
21,Leningradskiy,69.3833,178.4167,9.14,overcast clouds,87,100,17.63,RU
22,Kamskiye Polyany,55.4307,51.4171,34.61,overcast clouds,96,100,12.8,RU
23,Ulladulla,-35.35,150.4667,51.82,clear sky,68,0,3.89,AU
24,Port Elizabeth,-33.918,25.5701,70.32,clear sky,76,0,6.91,ZA
25,Luderitz,-26.6481,15.1594,59.49,scattered clouds,87,49,5.93,NA
26,Maragogi,-9.0122,-35.2225,78.1,broken clouds,73,75,8.93,BR
27,Albany,42.6001,-73.9662,62.64,clear sky,34,0,2.8,US
28,Rikitea,-23.1203,-134.9692,73.98,overcast clouds,80,100,7.25,PF
